holiday_date,holiday_name
2016-01-01,New Year's Day
2016-02-08,Carnival Monday
2016-02-09,Carnival Tuesday
2016-03-25,Good Friday
2016-04-21,Tiradentes Day
2016-05-01,Labour Day
2016-09-07,Independence Day
2016-10-12,Our Lady of Aparecida
2016-11-02,All Souls Day
2016-11-15,Republic Proclamation Day
2016-12-25,Christmas Day
2017-01-01,New Year's Day
2017-02-27,Carnival Monday
2017-02-28,Carnival Tuesday
2017-04-14,Good Friday
2017-04-21,Tiradentes Day
2017-05-01,Labour Day
2017-09-07,Independence Day
2017-10-12,Our Lady of Aparecida
2017-11-02,All Souls Day
2017-11-15,Republic Proclamation Day
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-02-12,Carnival Monday
2018-02-13,Carnival Tuesday
2018-03-30,Good Friday
2018-04-21,Tiradentes Day
2018-05-01,Labour Day
2018-09-07,Independence Day
2018-10-12,Our Lady of Aparecida
2018-11-02,All Souls Day
2018-11-15,Republic Proclamation Day
2018-12-25,Christmas Day
